elements,image_1,image_1.src,cond,emo,encoder_gender,block,trial,
image_1,"{
  ""type"": ""image"",  ""height"": 600,  ""width"": 441,  ""onset"": 0,  ""duration"": 2000,  ""x"" : 0,  ""y"" : 0,  ""end_trial"": ""yes""    }",../User/KDEF_top5/all/U_AM14AFS.JPG,unmasked,AFS,M,2,1,
image_1,"{
  ""type"": ""image"",  ""height"": 600,  ""width"": 441,  ""onset"": 0,  ""duration"": 2000,  ""x"" : 0,  ""y"" : 0,  ""end_trial"": ""yes""    }",../User/KDEF_top5/all/U_AM10NES.JPG,unmasked,NES,M,2,2,
image_1,"{
  ""type"": ""image"",  ""height"": 600,  ""width"": 441,  ""onset"": 0,  ""duration"": 2000,  ""x"" : 0,  ""y"" : 0,  ""end_trial"": ""yes""    }",../User/KDEF_top5/all/M_AF13DIS.JPG,masked,DIS,F,2,3,
image_1,"{
  ""type"": ""image"",  ""height"": 600,  ""width"": 441,  ""onset"": 0,  ""duration"": 2000,  ""x"" : 0,  ""y"" : 0,  ""end_trial"": ""yes""    }",../User/KDEF_top5/all/U_AF31ANS.JPG,unmasked,ANS,F,2,4,
image_1,"{
  ""type"": ""image"",  ""height"": 600,  ""width"": 441,  ""onset"": 0,  ""duration"": 2000,  ""x"" : 0,  ""y"" : 0,  ""end_trial"": ""yes""    }",../User/KDEF_top5/all/M_AM07HAS.JPG,masked,HAS,M,2,5,
image_1,"{
  ""type"": ""image"",  ""height"": 600,  ""width"": 441,  ""onset"": 0,  ""duration"": 2000,  ""x"" : 0,  ""y"" : 0,  ""end_trial"": ""yes""    }",../User/KDEF_top5/all/M_AF22SUS.JPG,masked,SUS,F,2,6,
image_1,"{
  ""type"": ""image"",  ""height"": 600,  ""width"": 441,  ""onset"": 0,  ""duration"": 2000,  ""x"" : 0,  ""y"" : 0,  ""end_trial"": ""yes""    }",../User/KDEF_top5/all/U_AM32HAS.JPG,unmasked,HAS,M,2,7,
image_1,"{
  ""type"": ""image"",  ""height"": 600,  ""width"": 441,  ""onset"": 0,  ""duration"": 2000,  ""x"" : 0,  ""y"" : 0,  ""end_trial"": ""yes""    }",../User/KDEF_top5/all/U_AM11SAS.JPG,unmasked,SAS,M,2,8,
image_1,"{
  ""type"": ""image"",  ""height"": 600,  ""width"": 441,  ""onset"": 0,  ""duration"": 2000,  ""x"" : 0,  ""y"" : 0,  ""end_trial"": ""yes""    }",../User/KDEF_top5/all/U_AF14AFS.JPG,unmasked,AFS,F,2,9,
image_1,"{
  ""type"": ""image"",  ""height"": 600,  ""width"": 441,  ""onset"": 0,  ""duration"": 2000,  ""x"" : 0,  ""y"" : 0,  ""end_trial"": ""yes""    }",../User/KDEF_top5/all/U_AF05NES.JPG,unmasked,NES,F,2,10,
